"MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"E4966299","Bright & Spacious 3 Bedroom + 1 W/2 Baths Detached Bungalow W/Separate Entrance To Finished Basement With Dining, Kitchen, Rec Room & Bedroom, Hardwood Floor In Main Floor, Epoxy Floor In Lower Level With Brand New Light Fixtures (2020), Brand New Pot Lights On Basement Ceiling (2020), Covered Front Porch, Mins To Lake/Paks, U Of T, Centennial College, Go Station, Restaurants, Ttc & Bluffs.**** EXTRAS **** 2 Stoves, 2 Fridges, Washeers & Dryer, All Window Coverings, All Existing Light Fixtures. Basement Wood Stove & Fireplace As Is Condition. Garage Opener & Remote (One). (27491620)","2","3 + 1",,"House",,,"$799,900 ","Single Family","4","Freehold","M1E2Y5"
"E4966350","Yee Hong Garden Terrace """"Life  Leasehold Occupancy"""" Adults 18+  & One Member Must Be Age 55+, Fully Renovated Unit With 2 Bedroom + Solarium, S//E Exposure, 821 Sq.Ft. Locker & Parking, Open Concept , Ensuite Laundry. Maint. Fee $738.20/Mo. (Incl. Water, Hydro, Basic Cable &  Filters), New Laminate Floor.**** EXTRAS **** New Stainless Steel Stove & Fridge, Washer, Dryer, Exhaust Kitchen Fan, Microwave, Quartz  Kitchen Counter Top And  Pot Lights. (27491673)","1","2",,"Apartment","Storage - Locker, Party Room, Exercise Centre",,"$453,888 ","Single Family","1","Leasehold Condo/Strata","M1S5W4""MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"E4966397","Estate Sale!! Move-In Ready, 2 Storey Detached Home In Sought After Danforth Village In East York! Steps Away From Subway And Go Station, Schools, Hospital, Shops, Restaurants, And Parks.4 Bedrooms On 2nd Floor With 2 Ensuite Bathrooms And Laundry Room. The Main Floor Is Perfect For Entertaining, With Large Concept Dining And Living Room. Modern Kitchen With Quartz Countertop Breakfast Bar/Backsplash. Offer Date Wednesday, Oct 28th @ 8Pm At Home Location**** EXTRAS **** S/S Appliances, Dishwasher, Gas Cooktop, Double Built-In Oven, Stacked Frontloading Washer/Dryer, Gas Hookup For Bbq , Large Storage Shed. Boulevard Parking Application Available (27491729)","5","4 + 3",,"House",,,"$1,385,000 ","Single Family",,"Freehold","M4C4Y4"
"W4966286","Great Potential For 3 Separate Apartments, Large Home With Approx 2600Sqft Of Total Living Space, 3 Kitchens, 3 Bathrooms. Prime Wallace Emerson Location. Close To All Amenities. Main Fl Kitchen Has W/O To Backyard Deck, Second Fl Family Rm Has W/O To Deck. New Wooden Shed In Backyard. Cold Cellar In Bsmt, Storage Room Next To Garage. Great Income Property. Close To Dufferin Mall, Galleria Mall, Ttc/Subway, And All That Trendy Bloor St Has To Offer.**** EXTRAS **** 3 Stoves (Bsmt Stove As Is), 3 Fridges, Dishwasher, Washer, Dryer, All Window Coverings, All Electrical Light Fixtures, Hot Water Tank Is A Rental. (27491670)","3","4 + 1",,"House",,,"$1,349,000 ","Single Family","3","Freehold","M6H3J7"
"W4966300","Immaculate Great Family Oriented Home & Investment Property. Close To Hwy 401, Ttc & Shopping. Jaw Dropper. Over $120K Spent On Upgrades & Remodeling. Added Extra Washroom, Gorgeous Open Concept Kitchen With Quartz Tops & Gas Stove. All Bedrooms Have Closets. Master W/O To Brand New Deck. Basement Fully Remodeled With Separate Entrance With Kitchen And A Full Washroom. All Floors Are Engineered Vinyl Lots And Lots Of Upgrades.. Must See!! Move In Ready.**** EXTRAS **** 2 Fridges, 1 Gas Stove, 1 Electrical Stove, Washer, Dryer & Dishwasher, Elfs. Furnace, A/C & Hot Water Tank Are Rentals (Combined $150 Month + Hst). (27491690)","3","3 + 2",,"House",,,"$1,125,000 ","Single Family","7","Freehold","M9W3R3"
"W4966345","Knock! Knock! Who,S There? Opportunity To Own A Semi_detached 3 Bedroom Home And Make Equity In Renting Out Basement.Presently Used As A 3 Unit Rental.Upper,Main,Seperate Entrance To Basement.Easily Converted Back To Family Home.Located Across Park,Close To Highways,Schools Transit.**** EXTRAS **** Three Fridges,Stoves. All Electrical Light Fixtures,Shed,Window Coverings (27491749)","3","1",,"House",,,"$685,000 ","Single Family","2","Freehold","M6N1R9"
"W4966357","Enjoy European Flair At Beautiful Treviso Condo! This Cozy Unit Makes Maximum Use Of Its 798 Sq Ft. Plus Balcony. Split Layout With 2 Bedrooms, Immaculate Kitchen Has Granite Countertops, Stainless Steel Appliances, 2 Full Baths. Top Location Is A 5 Minute Walk To Lawrence West Subway, And A 5 Minute Drive To Yorkdale. Bus At Your Door.**** EXTRAS **** All Elfs, Window Coverings, Stainless Steel Fridge, Stove, B/I D/W, B/I Microwave Oven, Existing Stackable Washer & Dryer (27491765)","2","2",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,"$599,000 ","Single Family","1","Condominium/Strata","M6A1C3"
"40037771","AMAZING ,LUXURY & UPSCALE Boutique Condo . Located In The Prestigious Forest Hill Neighbourhood. Beautiful, Spacious & Bright 2bedroom Unit 738Sf + 38Sf of Balcony With an amazing View of the city. It boasts an open layout with High End Finishings, Floor To Ceiling Windows, S/S Appliances, Glass backsplash, Cooktop stove, Laminate Flooring, Spacious bedrooms and a large balcony. Terrace w/ Bbq and lounge chairs, BreathTaking View, Private Fitness Centre, Billiards Room, Dining Room, Pet Spa, Guest Suite + 1 Locker. This Beautiful Complex has a low maintenance fee. Great Location, Steps To Yorkville, Restaurants,TTC, Subway, Parks & Excellent Schools. Motivated seller! Come before it's gone.(parking can be purchased from the builder if needed) (62563229)","2","2 + 0",,"Apartment","Exercise Centre, Guest Suite, Party Room",,"$749,000 ","Single Family",,"Condominium","M4V0A5"
"W4966275","Luxurious Lakeview Living! Nestled Against Etobicoke Creek & The Toronto-Mississauga Border On 6 Acres Of Private Park-Like Grounds. Over 1300Ft Living Space This Spacious 3 Bed,2 Bath Condo Is The One You've Been Waiting For! W/ Unobstructed Lake,Creek & Sunrise Views. You'll Fall In Love W/ The Serene Nature Of This Suite. Many Incredible Amenities To List! Ideal Location-Easy Access To Downtown Toronto, Hwy, Shops & Restaurants, Lake, Parks, Trails & More!**** EXTRAS **** Fridge, Stove, B/I Dishwasher, B/I Unit In Dinning Room, Washer/Dryer, All Window Coverings, All Elf's. Two Parking Spots Side By Side 80A & 80B. (27491657)","2","3 + 1",,"Apartment","Party Room, Exercise Centre",,"$659,000 ","Single Family","2","Condominium/Strata","L5E3E2"
"W4966370","Rare Found Condo Town With Updated Bsmt Apt W/ 2Bds/3-Pc Wr & Kitchen,Separated W/O To The Fully Fenced Bkyd,  Renovated Completely From Top To Bottom! Very Bright!New Kitchen W/ Granite Counters,Wood Cabinet, New Hardwood Floor & Stairs Throughout,Fresh Painted,3 New Baths,Master Rm With Semi-Ensuite, Low Fee,Minutes To Utm. Perfect For Young Families Or Investors, An Amazing Opportunity! A Short Walk To Public Transit/Shoppings,Dare To Compare!**** EXTRAS **** All Inside Doors Are New,New 2nd Flr Front Window,Newer Entrance Door,All  Newer  Appls( 2 Ss Fridges,2 Ss Stoves, Ss Washer/Dryer),All Window Coverings,All Elfs,Newer Furnace/Ac,Hwt Rental. (27491783)","3","3 + 2",,"Row / Townhouse",,,"$729,900 ","Single Family",,"Condominium/Strata","L5L3M1"
"W4966291","Lorne Park - Enjoy Strolling The Lakefront Parks Just A Short Walk From This Fully Reno'd, Executive 2 Storey Townhome W/ Double Garage & Prkg Spaces. Double Height Foyer W/ Curved Oak Staircase. Spacious Open Concept Living & Dining Rm, Cozy Main Flr Fam W/ Fireplace. New White Kitchen, Stainless Appls & Designer Quartz Counters. Bamboo Hardwood Is Carried Throughout Main & Upper Levels. Heated Flrs In Master Ensuite W/ Quartz Counters, Dark Vanity.**** EXTRAS **** Travertine Inspired Tiles, Sep Shower, Heated Towel Rack. New White & Grey Main Bath & Powder Rm. Comfortable Recreation/Media Rm W/ Built In Wine Fridge/Storage. Lrg Laundry & Storage Rm. Drywalled Garage W/ Epoxy Floor (27491677)","3","3",,"Row / Townhouse",,,"$999,999 ","Single Family","4","Condominium/Strata","L5H4J4""MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"W4966322","Stunning 4 Bedroom Family Home On Ravine Lot With Recently Upgraded Walk Out Finished Basement In A High Demand Area. Approximately 2800 Sq Ft Living Area - Best Value In The Castlemore Area. Brightly Lit, Spacious Layout With Double Door Front Entrance And Walkout Deck From The Kitchen. Separate Living And Family Areas, Beautiful Recently Upgraded Kitchen, Second Floor Laundry, And Large Window On Staircase Landing For Natural Light.**** EXTRAS **** S/S Fridge, S/S Stove, Washer/Dryer. All Electrical Light Fixture. Hwt Is Rental. (27491720)","4","4 + 2",,"House",,,"$989,000 ","Single Family","4","Freehold","L6P3P8"
"W4966345","Knock! Knock! Who,S There? Opportunity To Own A Semi_detached 3 Bedroom Home And Make Equity In Renting Out Basement.Presently Used As A 3 Unit Rental.Upper,Main,Seperate Entrance To Basement.Easily Converted Back To Family Home.Located Across Park,Close To Highways,Schools Transit.**** EXTRAS **** Three Fridges,Stoves. All Electrical Light Fixtures,Shed,Window Coverings (27491749)","3","1",,"House",,,"$685,000 ","Single Family","2","Freehold","M6N1R9"
"W4966357","Enjoy European Flair At Beautiful Treviso Condo! This Cozy Unit Makes Maximum Use Of Its 798 Sq Ft. Plus Balcony. Split Layout With 2 Bedrooms, Immaculate Kitchen Has Granite Countertops, Stainless Steel Appliances, 2 Full Baths. Top Location Is A 5 Minute Walk To Lawrence West Subway, And A 5 Minute Drive To Yorkdale. Bus At Your Door.**** EXTRAS **** All Elfs, Window Coverings, Stainless Steel Fridge, Stove, B/I D/W, B/I Microwave Oven, Existing Stackable Washer & Dryer (27491765)","2","2",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,"$599,000 ","Single Family","1","Condominium/Strata","M6A1C3"
"40037771","AMAZING ,LUXURY & UPSCALE Boutique Condo . Located In The Prestigious Forest Hill Neighbourhood. Beautiful, Spacious & Bright 2bedroom Unit 738Sf + 38Sf of Balcony With an amazing View of the city. It boasts an open layout with High End Finishings, Floor To Ceiling Windows, S/S Appliances, Glass backsplash, Cooktop stove, Laminate Flooring, Spacious bedrooms and a large balcony. Terrace w/ Bbq and lounge chairs, BreathTaking View, Private Fitness Centre, Billiards Room, Dining Room, Pet Spa, Guest Suite + 1 Locker. This Beautiful Complex has a low maintenance fee. Great Location, Steps To Yorkville, Restaurants,TTC, Subway, Parks & Excellent Schools. Motivated seller! Come before it's gone.(parking can be purchased from the builder if needed) (62563229)","2","2 + 0",,"Apartment","Exercise Centre, Guest Suite, Party Room",,"$749,000 ","Single Family",,"Condominium","M4V0A5"
"N4966276","Fabulous 3 Bedroom Family Townhome, One-Of-A-Kind, Heart Of Richmond Hill, Steps To All Amenities, Move-In Ready, Many Upgrades! Modern Kitchen: Quartz Counter Top, Lots Of Cabinet&Counter, Bright Kitchen! Large Bay Window, Glass Patio Sliding Door W/O Large Deck! Crown Molding Living Room. King-Size Bedrooms W/Casement Windows. Rare 4Pc Bath In Bsmt .Fully Renovated Bsmt&Wshrm, Custom Wall W/Art Niches&Pot Lights, Separate Rec, Storage & Laundry Rm. Oak Stai**** EXTRAS **** Extras: Stainless Steele Fridge, Stove, Dishwasher, Range Hood, Gdo+Remote, All Elfs, Windows Coverings, Washer And Dryer (27491618)","3","3",,"Row / Townhouse",,,"$588,800 ","Single Family","2","Condominium/Strata","L4C5E2"
"N4966287","Location! Location! Location! Unionville Garden - Luxury, Brand New, Never Lived In 1 Bed + Den With 2 Full Baths Including An Ensuite In Bedroom. Demanding And Blooming Unionville Neighbourhood. Viva Bus At The Door, Minute Drive To Corporate Offices, Hwy 404, 407, Go Station. Steps To Unionville Highly Rated Schools, Markham Town Square, Uptown Markham Plaza, Markham City Centre, Panam Centre And Future York University Markham Campus Etc!**** EXTRAS **** Brand New Stainless Steel Appliances, Walk In Closet And Ensuite Full Bath In Bedroom. Includes Parking And Locker. (27491631)","2","1 + 1",,"Apartment","Storage - Locker",,"$529,900 ","Single Family","1","Condominium/Strata","L3R6J1"
"N4966293","Make This Beautiful House In The Heart Of Maple """"Your New Home"""" With 4+2 Bedrooms With Newly Renovated Kitchen On The Main Floor Overlooking A Beautiful Over Size Back Yard, 2 Year Old Roof, A/C, Furnace And Water Tank. Separate Entrance To The Bsmt With New Laminate Flooring And A New Kitchen. Walking Distance To Vaughan Public Library, Shopping Plaza, Restaurants, 5 Minute Drive To A The """"First Smart Hospital"""" Wonderland & Ttc Subway Line.**** EXTRAS **** Kitchen S/S Appliances, Existing Stove To Be Replaced With S/S Stove. Clothes Washer And Dryer. All White Appliances In The Basement. All Dimensions Of Rooms To Be Verified By Buyer And Buyer Agent. (27491639)","3","4 + 2",,"House",,,"$1,098,888 ","Single Family","4","Freehold","L6A1B5"
"N4966323","Ground Floor Unit W Premium Patio - Sit Back & Watch The World Go By - In Swan Lake, A Gated Community Offering An Easy Condo Lifestyle & A Vibrant Social Scene! Popular """"Keywest"""" Model Offers 1128 Sf Of Open Concept Space & An Oversized Patio Perfect For Pet Owners & Gardeners.  Eat-In Kitchen W Corian Counters, Large Living & Dning Areas Fit 'House Sized' Furniture, 2 Generous Bedrms - Primary Br W Walk-In Closet & Full Ensuite Bathrm. Prking/Locker Incl**** EXTRAS **** Easy Access In & Out On Ground Level! Swan Lake Offers 24 Hr Gatehouse Security & Fab Amenities Including An In-Building Party Rm For Social Gatherings, Swan Club W Gym/Indr Pool/Library/Party Rm & Bbq Terrace, 3 Outdoor Pools/Tennis & More (27491674)","2","2",,"Apartment","Storage - Locker",,"$555,000 ","Single Family","1","Condominium/Strata","L6E1B9"
"N4966324","Live In The Heart Of Richmond Hill Surrounded By Parks! Brand New 3-Storey *End Unit* Townhouse By Treasure Hill. Luxurious 3Br/3Bath Just Under 2000-Sf W/2 Car Garage. Featuring 9' Ceilings On Main; Natural Finish Oak Stairs; Master W/6 Pc-Ensuite & W- I-C. Minutes To Everything! Walk To Viva/Yrt Bus Stops, Yonge St, Coffee Shops, Restaurants & Supermarkets.Top Ranked Public/Catholic/Private Schools & Childcare Centres Nearby. Easy Access To Hwy 7/404/407.**** EXTRAS **** S/S Appliances(Fridge, Electric Range, Dshwshr); Front Load Washer & Dryer. Caesarstone Countertops. Rogers Smart Home Monitoring; Nest Cam Outdoor Camera; Aprilaire Air Purifier; Aprilaire Humidifier; Nest Thermostat; Hrv System & More! (27491676)","3","3",,"Row / Townhouse",,,"$1,050,000 ","Single Family","4","Freehold","L4C4M2""MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"N4966329","Rarely Found 3 Bedrooms With Ensuite Bathrooms, Awaiting For The Next Owner! Prime Location! Yonge And 16th! Practical Layout With No Waste Space! New Laminate Floor Main & 2nd. Pot Lights! 9' Ceiling! Newer Roof (2016), Steps To Yonge St, Public Transit, Hillcrest Mall, Grocery Stores. Minutes To Hwy 7 And 407, Schools, Community Center, Richmond Hill Center, Kids Friendly Community. Freshly Painted, Ready To Move In!**** EXTRAS **** Fridge, Brand New Stove & Brand New Microwave Fanhood, S/S Built-In Dishwasher, Side By Side Washer/Dryer, All Elfs, Existing Window Coverings, Central Vac,Furnace & Ac,New Light Fixtures. (27491682)","4","3",,"Row / Townhouse",,,"$848,000 ","Single Family","2","Condominium/Strata","L4C0M7"
"N4966348","Bright And  Spacious Large 2+1 Corner Unit Condo At An Affordable Price! Den Can Be Used As 3rd Bedroom. Open Concept Kitchen With Quartz Counter Top. Large Master Bedroom With 4Pc Ensuite. Built-In Closet Organizers In Den. 2 Parking Spots Included! Conveniently Located In The Heart Of Markham, Steps To Viva Bus Stop, Minutes To Hwy 7, 404 & 407 & Go Station. Walking Distance To Unionville High School, Shopping Plaza, 24Hr Medical Centre, And Restaurants.**** EXTRAS **** Stainless Steel Fridge, Stove, Built-In Dishwasher, Washer & Dryer, All Existing Electric Light Fixtures, Two Parking & One Locker. (27491706)","2","2 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre",,"$659,000 ","Single Family","2","Condominium/Strata","L6G0B4"
"N4966457","Beautifully Appointed, Bright, Spacious 2 Bdrm, 2 Bath, Lower Penthouse Living, 2 Car Parking & Spacious Locker, Equipped With S/S Appliances & En-Suite Laundry, Easy Access To 404, 407,Hwy 7, Go Transit, Yrt & Viva, Shopping, Community Centre, Catholic And Public Schools, Movie Theatre, Restaurants, Future Subway Access, Welcome Home**** EXTRAS **** S/S Fridge, Stove, Brand New Dish Washer, Washer/Dryer, Elf's, Window Coverings, Ikea Wardrobe In Master, Walk To Top Rated Schools/Richmond Hill Station/Silver City/Walmart/Home Depot/Staples, Maint. Fees Includes All Utilities! (27491823)","2","2",,"Apartment","Storage - Locker, Party Room, Sauna, Security/Concierge, Exercise Centre, Recreation Centre",,"$514,888 ","Single Family","2","Condominium/Strata","L4B4T9"
"C4966330","Just Placed On The Market. A Rare Opportunity At The Coveted Kilgour Estates!   This Upgraded Suite Features 2 Bedrm, 2 Bath, A Walk-In Closet In Master Bedrm, Large Private Balcony Overlooking A Roof Green Space With Pano Views North To East, Beautiful New Hardwood Floors And Carpet; Eat-In Kitchen Nook Or Could Be Used For An Office. Top End Kitchen With Granite Counters 1 Parking Space And Locker Very Private And Quiet!**** EXTRAS **** Has All The Amenities Of Kilgour Estates That Makes This A Unique Place To Live: Restaurants, Shopping; 24 Hour Security/Concierge; Pool, Gym, Walk To Subway. => More Info=> Click Below=> 'More Information' Or 'Multimedia' On Mobile. (27491538)","2","2",,"Apartment","Storage - Locker, Security/Concierge, Exercise Centre",,"$989,999 ","Single Family","1","Condominium/Strata","M4G0A1"
"C4966449","Bright & Spacious 3 Bedroom Condo With Incredible View & Walk-Out To Huge Balcony, Large Master Bedroom With Walk-In Closet & Washroom. Open Concept Dining, Eat-In Kitchen, Ensuite Laundry, Laminate Flooring, Underground Parking & Locker. Low Maintenance Fees With Heat, Water, Hydro Included. Close To School, Public Transit, Shopping Mall, Restaurants, Community Centre, Movie Theatre. Easy Access To Dvp & Hwy 401. Minutes To Downtown!**** EXTRAS **** Family Sized Kitchen With Stove, Fridge, Dishwasher, Laundry Washer & Dryer, A/C Units In Living Room And Master Bedroom And All Electrical Light Fixtures In As-Is Condition. One Parking And Locker. (27491670)","2","3",,"Apartment","Storage - Locker, Party Room, Sauna, Exercise Centre",,"$545,000 ","Single Family","1","Condominium/Strata","M4A2S3"
"40037767","What A Gem! Rare Corner Townhouse In A Highly Demand West Scarborough! Brand New Never Lived In Modern 1470 Sq Ft Home W/Open Concept Layout , Luxury Finishes. Huge 300 Sq Ft Very Private Rooftop Terrace Overlooking Park, Spacious Den Can Be Used As A Home Office. Largest Model In The Building! Walk Distance To Top Public Schools, Hospital, Parks,Shopping Mall, Grocery, Restaurant. Close To 401&404, T.T.C, Go, Stc Subw , Seneca, Ut Scarborough (62562844)","2","4 + 0",,"Row / Townhouse",,,"$898,800 ","Single Family",,"Condominium","M1W0A7"
"40037697","Lorne Park - Enjoy Strolling the Lakefront Parks Just a Short Walk From This Fully Renod, Executive 2 Storey Townhome W/ Double Car Garage & Prkg Spaces. Double Height Foyer W/ Curved Oak Staircase. Spacious Open Concept Living & Dining Rm, Cozy Main Flr Family W/ Fireplace. New White Kitchen, Stainless Appls & Designer Quartz Counters. Bamboo Hardwood is Carried Throughout Main & Upper Levels. Heated Flrs in Master Ensuite W/ Quartz Counters, Dark Vanity, Travertine Inspired Tiles, Sep Shower, Heated Towel Rack. New White & Grey Main Bath & Powder Rm. Comfortable Recreation/Media Rm W/ Built in Wine Fridge/Storage. Lrg Laundry & Storage Rm.Drywalled Garage W/ Epoxy Floor. If you are looking for lifestyle living in an upscale community W ease of mtce -look no further! (62562676)","3","3 + 0","1654.0000","Row / Townhouse",,,"$999,999 ","Single Family","4","Condominium","L5H4J4"
"W4966171","Move In Ready, Fully Renovated Stacked Townhouse. Open Concept Layout With Multiple Walkout Terraces. 3 Good Sized Bedrooms. New Modern Kitchen W S/S Appliances, Large Island, Backsplash & Cabinets. New Flooring & Pot Lights. Designer Like Upgd Bathrooms. In Suite Laundry. Central Location Close To All Amenities. 1 Underground Parking & Locker. All Utilities Included In Maintenance Fee.**** EXTRAS **** S/S Fridge,Stove, Dishwasher, Washer & Dryer. All Elf's And Window Coverings. 1 Parking Spot & Locker. (27491066)","2","3",,"Row / Townhouse","Storage - Locker, Exercise Centre",,"$498,990 ","Single Family","1","Condominium/Strata","L5K2C8"
"W4966025","Bright And Spacious Upgraded 3 Bedroom Condo In High Demand Lakeview Area. Walk To The Lake, Waterfront, Parks And Trails, Schools And Restaurants, Port Credit, Go Station, Mins. O Qew. Maintenance Fee Incl. All Utilities And Cable. This Condo Is Tastefully Upgraded With Newer Laminate Floors, Porcelain Floors In Kitchen And Newer Kitchen Cabinets And Ss Appliances. Spacious Bedrooms, Sun-Filled Master With W/I Closet And Ensuite. Move In Ready!**** EXTRAS **** All Existing Ss Appliances: Stove,Fridge, B/I Dw, Range. Built In Speaker.All Windows Coverings, All Upgraded Elfs, Newly Reno's Baths, Balcony, 1 Parking, Plenty Of Storage In Unit. 2nd Parking Spot Currently Rented For $30/Mth From Corp. (27490870)","2","3",,"Apartment","Car Wash, Party Room, Sauna",,"$449,000 ","Single Family","1","Condominium/Strata","L5G4N3""MlsNumber","PublicRemarks","Bathrooms","Bedrooms","InteriorSize","Type","Ammenities","Address","Price","PropertyType","ParkingSpace","OwnershipType","PostalCode"
"W4966051","Breathtaking Fully Renovated Two Bedroom Two Storey Townhome With Finished Basement Located In Credit Woodlands Within Short Walk Of Exceptional Hiking Trails Along The Credit River And A Quick Walk To Springfield Public School. This Home Enjoys A Southern Exposure Ensuring A Bright Cheerful Home. Fenced In Backyard Is Perfect For Gardening Or Soaking Up The Sunshine On Your Private Deck. Walking Distance To All Amenities And U.T.M.**** EXTRAS **** S/S Samsung Appliances Include, 5 Burner Range W/Warming Drawer, Refrigerator, Dishwasher & B/I Microwave. Top Load Lg Inverter Washer And Lg Sensor Dry Dryer. Furnace 2018 With Green Clean Air Cleaner, Elf's, Window Coverings, Shed (27490904)","2","2 + 1",,,,,"$495,000 ","Single Family","2","Condominium/Strata","L5C2J8"
"W4966112","Welcome To This Beautiful Home.The Minute You Enter You Feel Like You In A French Cafe.Warm & Inviting Full Of Good Quality Upgrades.Here Are Some Of The Upgrades:Hdwd Flr,Wainscoting.Oak Stairs W/Iron Pickets,Gourmet Kit W/Bosh Apps,Granite Cntrtps, Huge Island & Upgd Cabinetry, Fam Rm W/ F/P &W/O To Private Backyard With Gazebo,2nd Fl Offers 3 Generous Br,Master W/Spa Like Bath &W/I Closet.Bsmt Is Totally Finished W/ Lrg Rec Room Bath W/Jaccuzi &Heated Flrs**** EXTRAS **** Appliances, Sheds, Window Coverings, Light Fixtures, Tankless Water Heater Rented. Most Of The Windows And Roof And Furnace  Have Been Replaced, Water Filtration/Softener System For The Whole House, Osmoses System,  New Insulation And More (27490989)","4","3",,"House",,,"$969,900 ","Single Family","5","Freehold","L5B4E6"
"W4966186","Spacious Townhome Located In The Heart Of Mississauga Right Across From A Gorgeous Park And Walking Trails. This Home Features 9 Foot Ceilings On Ground And Main Levels, 10 Foot Ceiling On The Lower Level .Hardwood Flooring Throughout,Eat-In Kitchen, Open-Concept Living/Dining Room With Hardwood Stairs And Large Bright Bedrooms With Renovated Bathroom. The Home Is Immaculately Maintained (Roof-2014 & Furnace/Ac-2018).**** EXTRAS **** Convenience Of A Private Driveway And Garage With Access To Ground Floor Den With A Full Bathroom. Close To Square 1, Cooksville Go Station, Amenities And Highways. (27491085)","3","2 + 1",,"Row / Townhouse",,,"$659,500 ","Single Family","2","Condominium/Strata","L5B4L3"
"W4966152","Great Investment Opportunity In Rapidly Developing Area To Own Detached Bungalow In Desirable Lakeview On Large 53Ft Lot! Many Upgrades Incl Electrical By Mike Holmes Tv Show 200Aps. Renovated Maple & Granite Kitchen & Main Bath. Hardwood Floors On Main. Nothing To Do But Move In! Also Has Amazing Income Potential W/Sep. Entrance To Basement, Fantastic Location-Steps To Schools, Lake & Park Trails, Minutes To Port Credit Shopping, Hwys, Airport And Many More**** EXTRAS **** All Existing Appliances, 2 Fridges, 2 Stove, Dw, Washer & Dryer. All Light Fixtures. Huge 14'X15' Garden Shed With Electrical (27491040)","2","3 + 2",,"House",,,"$899,000 ","Single Family",,"Freehold","L5E1J6"
"W4965979","Beautiful & Well Maintained 1+ Den Luxury Condo Unit I The Square One Neighbour.Walking Distance To Mall,College,Transit,Theatres, Restaurants And Lots More. Amazing Unit With South View With A Large And Private Balcony, Hardwood Floors, Granite Counter Tops, Breakfast Bar, Stainless Sleep Appliances, Walk In Closet, Ensuite Laundry. One Parking Spot And One Locker.With Amazing Amenities. Come Take A Look You Won't Regret It.**** EXTRAS **** Included- S/S Fridge, S/S Stove, S/S Built In Microwave, S/S Dishwasher, Washer And Dryer, All Electrical Fixtures All Window Covering. Move In Ready! (27490814)","1","1 + 1",,"Apartment","Storage - Locker, Security/Concierge, Party Room, Exercise Centre, Recreation Centre",,"$469,900 ","Single Family","1","Condominium/Strata","L5B0E9"
"W4965974","Amazing Location!!! Real Gem Fully Renovated, Spacious 3 Bedroom Condo Appart. With Great Layout Features Extra Spacious Open Concept Dining And Living Room With W/O To Extra Large Open Balcony, Large Beautiful Kitchen With Granite Countertop. Large Master With W/I Closet & 2 Pc Bathroom, Hardwood Floor Throughout, Professionally Renovated With Top Quality Material, Proudly Owned. Outdoor Pool, Steps To Ttc  Shopping, Schools, Go Station,  Move-In And Enjoy.**** EXTRAS **** Incl: Fridge, Stove., Microwave, All Elf's, All Window Coverings. One Parking Spot #59, En-Suite Locker. Excluded: Bedroom Tv, Mirror In Dining R. All Wall Pictures, Ament: Outdoor Pool, Patio, Exercise Room, Sauna, Party R. & Visitor Par. (27490807)","2","3",,"Apartment","Exercise Centre",,"$479,900 ","Single Family","1","Condominium/Strata","L5A3R2"
"W4966167","Bright Sunlight Condo Apartment In Cnetral Mississauga. Walking Distance To Square One Shopping Mall, Library, Living Art Center. Renovated Kichen Counter Top And Cabinet, Undermount Double Sink. Public Transit, Bus Stop Minutes Away, Quick Access To Hwy 403/401.**** EXTRAS **** All Appliances Included: Fridge, Stove, Dish Washer, Washer/Dryer. All Elf's, Existing Window Covering. (27491061)","1","2",,"Apartment",,,"$535,000 ","Single Family","1","Condominium/Strata","L5B3Z7"
"W4966034","Applewood Landmark Was Named """"Condo Of The Year"""" 2018/2019 By Cci-T .  The Beautiful Landscaped Area & Amenities, Such As, Security, Pool, Tennis Court, Car Wash, Smoke-Free Building And So Much More Contributes To The Condo Lifesyle.  Walk Into This Stunning Renovated Unit With 3 Large Bedrooms, Open Concept Living And Dining Room Area Overlooking The Solarium, Kitchen W/Breakfast Area O/L Solarium,  A Separate Laundry/Storage Room**** EXTRAS **** Renovated Kitchen, Bathrooms, Flooring & Professionally Painted 2020. 2 Fridges, Stove, Dishwasher, Washer, Dryer, All Electrical Light Fixtures, All Window Coverings - All Appliances As Is Condition. (27490881)","2","3",,"Apartment","Car Wash, Security/Concierge, Exercise Centre",,"$685,000 ","Single Family","1","Condominium/Strata","L4Y3Z2"
